Username,Tweet
bbow,"habis naik maxim abangnya nanya random gitu, lalu beliau bertanya ""kuliah dmna dek?"" aku jwb ""blum kuliah pak, tp inshallah bakal kuliah. Terus di doain abang maxim alhamdulillah https://t.co/3B6eEoMlek'"
q,mbuh kenapa bapak maxim lucu lucu https://t.co/g1MQXXWseM'
salsa_,pesan food di maxim ternyata murah gess
akungabuut,"abang maximnya baikkkk, besok mau pesen maxim lagi ah"
VINONANDRI AL-AZZAM,Ini orang tidak niat kerja. order dapat dan di cancel..mohon di tindak lanjuti... Kami gunakan aplikasi ini karena murah ya maxim https://t.co/jRr6DpAE7j'
ahmad,haduh punya pengalaman tidak enak pakai aplikasi maxim
syukulu,Tidak lagi-lagi pakai maxim big NO'
˙ᵕ˙ca²,"Padahal mau update maxim doang tadi, jadi error"
han🍣,@notyour_queenn ya kan kamu mesen nya naik maxim yang murah
prabuu,salah satu ojol tidak pelit harga adalah maxim
Lord Billar of Valenciaga,@maxinmof @wiragalam Fitnah dajjal kamu ngomong seperti ini maxim'
Maxim|E-hailing,maxim baru bisa cash dah sebel
pengen ganti nama,@mcfuwioweyyo @txtdrkuliner maxim banget gk tu'
mnd,@jogjamnfs iya itu smacam gopay. gopaynya maxim wkw'
BASE ON: BACA RULES!!,aku kemaren baru pake maxim terus bayar tunai kok https://t.co/jj3WIoz2tg'
Bubblerum,"Sabar wii, nanti lu bebas deh nangis di kosan. Bahkan kalo ga kuat nahan sambil naik maxim boleh lah nangis'"
gala,susah banget nyari sesuai lokasi kalau naik maxim
Fino,"Bersyukurlah buat yang tinggal di jawa. Di jogja bebas mau naik apa aja, pilihan banyak. Sekarang juga maxim udah mulai banyak https://t.co/RPBTxZh8qU'"
🛵💨,@txtdrkuliner lebih milih pesan maxim sekarang darpada gojek atau grab
paul,@biblehye kalo sendiri naik maxim aja yg murahh. itu jg ga terlalu jauh ko'
nay,algoritma pencarian driver Maxim kenapa aneh banget ya? ada yang deket malah nyantol driver yg jaraknya lebih dari 2km. ga jls bgt anjeng'
qikaa,@minewjine @moonareas Hari ini pergi naik maxim lagiii
syukulu,Genit bgt pusing abang maxim me block kenapa pake tetanggan si jink'
bellsy,Naik maxim car murah ternayata
:D,naik maxim serasa bukan maxim
irene,coba maxim ternyata tidak seburuk yang dibicarakan orang
efendi,kirim paket lewat kargo maxim murahh
vinaaaa,mau pesan makan lewat maxim ribet banget
rizwan,bagusnya kalau pakai aplikasi maxim ada pilihan perdomisilinya
khiarty,"males banget drivernya genittt, gasukaa"
",",@norfazlynn_ Kawasan maxim saja sudah crowded. Confirm ramai tu hahahah'
galgal,susah nyari lokasinya
𝓐𝓵𝔂𝓷🌙,pesen makan di maxim murah juga ternyata
ney😶‍🌫️,@minewjine  maxim kemana aja ini lama banget nunggunya guaaa
ayyyy!!!!!,@moonareas maxim tuh apk ojol bukan si'
Maxim,@biologei @moonareas Iya Maxim murah
carl,"naik maxim masa biaya aplikasi sama yang diminta beda sih, kesel banget"
rakev,pembalap banget ni abang maxim
carlo,"mapsnya maxim ngaco banget, ga suka"
azel 🤣🤣,aku dinotis maxim woy  https://t.co/A4Ex71CEM9'
akmal cjr,@moonareas enih maxim yang kuning murah itu ya'
anta stm,@moonareas MAXIM NOTIS GUA DONG YA ALLAH DARI AKUN SEBELAH KAGA PERNAH DIANGKUT (sedih)'
Fab 🦋,Driver lo sopan dikit dong maxim. Gw munggu sejam ngape lo yg sewot kontol https://t.co/pvgiPwn0UD'
Maxim,maxim tolong diperbaiki para drivernya ya
Asher rest,@moonareas maxim si kuning kh'
widia,"ini gimana sih maxim, masa ada waktu berbayarnya"
Aci #Cookies 🍪🍓⚡,November tahun lalu menang di maxim Sama di duches tpi duches nya ke sus'
would u be mine⁉️,@FWBESS Kan ada maxim
a,pokonya hari kemarin asu banget aku ribut sama amang maxim terus kepentok botol aqua udah mana perut laper https://t.co/NE5w83noEV'
Catur Ratna W.,"@rockintari @Maxim_Indonesia Ya ampun maxim! Ganti ojol aja,"
Mentari Nurmalia,Hampir mati gara-gara driver @Maxim_Indonesia maxim bawa motor dalam keadaan remnya rusak/blong. Terus alhasil nabrak motor didepannya https://t.co/S3BSZ9IptL'
Yaoi Mitsuzawa Naori.,"@Arsenal20xucl @krupukgendar66 @kindermanfritz @RktAdli @The_RedsIndo mungkin tuh orang, gatau semurah apa maxim dibanding aplikasi lain https://t.co/38IkeXM6xT'"
kale,"abang maxim yang kutemuin rata-rata pada suka ngedoain, aku terharu banget huhuu'"
Pawpaw,"@onemorelight___ @discountfess Iyaa sekarang lbh pilih maxim klo lagi high fare. Gojek paling tinggi harganya, ga ngotak banget"
kale,"pernah naik maxim terus abang maximnya ngira aku anak kedokteran, sedikit membuka luka lama tapi pas turun didoain https://t.co/hyfJfEdIm5'"
syukulu,ngga lagi-lagi naik maxim'
syukulu,Aaaaa males banget naik maxim'
Adul,@discountfess Maxim biasanya lebih murah'
suciku,@discountfess pake maxim adalah kundjie'
woozyan,@milomimow CEPET NYUSUL PAKE MAXIM'
dona,"naik maxim abang nya cerita pake aku kamu, busettt berasa di ceritain sama pacar'"
ila,"order maxim hari ini, tapi ongkir yang tertera di aplikasi dengan driver berbeda. aneh banget"
dwindara,sepanjang jalan abang maximnya cerita cerita. seru bangettt
nisa,"iseng liat aplikasi maxim, ternyata mash banyak lokasi yang belum terdaftar di maxim"
hafidz,"pertama kali pakai maxim, ini ngga ada fitur buat ngambil gambar di room chatnya ya"
🇲🇾 بالروح، بالدم، نفديك يا أقصى 🇵🇸,Murahan maxim kalau dibanding yang lain
Kiyong nuna ✡️,"Gesss nanti malem yang nonton dreamies, kan gojek sama grab susah tuh. Aku saranin kalian pesan maxim yaa. Kemaren aku pesan maxim cepet datengnya https://t.co/OMaMHpt71O'"
maddy,Abang maxim : maaf nih kak tpi kaka tampangnya kristen-able
Remember,@signatureoreo maxim car dong lebih murah ketimbang yg lain
Kazuha,@ziniztier Selamat pagi kak Maxim'
kacang tojin,suka baget dapet maxim yang wangi
udin,"hampir banget tabrakan beruntun, maxim ni kenceng kenceng banget sih"
sardi,"hari ini naik maxim, tapi akurasi mapsnya kurang tepat"
𝐩𝐢𝐚||sibuk rl,"sumpah, maxim abangnya genit bgt suka ngechat"
GZB SpartAce,Driver maxim ramah banget sih
Irfan Syahrefi,Maxim tidak suburuk itu
Edi Ashraff #rakyatjagarakyat 🏴🇲🇾🇵🇸,"Nemu driver maxim cuma isenggg, mana gamau dibayar"
GZB SpartAce,"Allahuakbar abg2 maxim nya narsis bgt. Perasaan laki ku udah paling narsis ku lihat, lah abang nya lebih narsis lagi. Ampuuunnnnn."
Tengmirah,@_oreonotoreo Boleh coba indrive or maxim . Kadang lebih baik dari grab. Boleh bandingin harga and pick yg paling murah'
geo,@9flouriine ngga sekalian malming sama abang maxim kah'
cep yanaᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@Maxim_Indonesia maxim kapan update sistem order masuk? yang sekarang berjalan ga relevan dengan posisi driver..'
fitri,"mapsnya maxim tidak mendukung sama sekali, jadinya sulit untuk menentukan titik jemput atau titik tujuannya"
act: Roses,"@Leoraaabziaa Tau goblok ga ka? Iya itu anda. Nyetir dalam keadaan mabuk ga dibenarkan woy. Dan asal lu tau, sekarang banyak aplikasi ojek online contohnya maxim https://t.co/ZBqo2Caizr'"
edo,"gila selap selip banget abang maximnya, kacau"
transonlinewatchcom,"Duh! Ikut Pengajian Driver Maxim Tak Lagi Peduli Keluarga, Bahkan Mau Bunuh Diri https://t.co/nXyMWwftBx'"
ryuᵕ̈,@hahingang @AxtonYuval @infotwitwor_ @Leoraaabziaa mba ini tinggal di zaman apa ya ga tau ada gojek grab maxim https://t.co/DQGfAkTvNn'
virgo gurl.,@linkaja ini gmn ya gangguan ga bisa top up saldo maxim'
neta,"mapsnya maxim ga akurat, jadi bingung kalau mau pesan maxim"
je,@effrect Positif maxim kan??'
retta 🛰️,badanku encok ih apa naik maxim aja ya tapi gamau boros IH'
Donquixoteee,"buat kakak"" FK -uwin yg tadi order maxim ke pd. ranji, semangat praktiknya ya, semoga cepet jadi dokter. https://t.co/PIrUPCA9Gr'"
nay,maxim ko error si aku mau pulang https://t.co/8ecP9JKhzn'
A2K,"@Askrlfess Kadang customer maxim emang ngeselin sih, ini dia yag pesan jarak jemput lumayan lah hampir sekilo , di chat via app ngga di bales https://t.co/YNkBUYSTEt'"
Pesarkas Hamndal,Ngakak banget sama driver maxim
law-own,@alexoxandro @OhhhAchmad @Askrlfess Gw kalo jdi ibu nya bakal ngecancel orderan kalu nungguya lama apalagi kalo jaraknya jauh https://t.co/WWuCxxXvSC'
indiraa,kenapa hari ini pesen maxim di cancel mulu dah
Jepit.Njepat,"RT @unmagnetism: lancar trus rejekinya buat abang driver maxim, suka banget pake maxim https://t.co/OL8uwl9dDI'"
law-own,"@abcdefg__jkmybf @ielcafe @Askrlfess Bener apalagi maxim, asli nyari titik nya susah. Rumah gua titik nya ghoib'"
duunuuut's,@pinkypink211 @rizaldy_bima @ngalamfess iya kak kalo di lampung juga gitu ada counternya maxim'
deka,fitur fitur maxim masih kurang
Rambutan1970,maxim juga bisa gosend ko
🧚🏻‍♀️🙅‍♀️,kayanya besok2 gamau gosend pake maxim lg ajg.'
🧚🏻‍♀️🙅‍♀️,sumpah harini lemas selemas lemasnya karna kurir maxim babi'
dakinya Taehyung⁷,"Naik maxim aja, murah gitu tarifnya"
purr,Tadi nak balik order maxim https://t.co/btz2rb4w04'
selma,"Yamg belum download maxim, pakai kode akuu yuk "
herna,pakai maxim susah cari alamat tujuannya
è d o t,"@istimewadihati Masih lebih murah indriver, perkara tadi susah dapet driver pada jauh akirnya terpaksalah pake maxim "
einજ,"kak coba order pake maxim, kemaren aku cepet pas grab ga dapet dapet https://t.co/IjE0HwbrI4'"
🌙 ;,gakenal gojek grab maxim kali ya https://t.co/YN5lKUj4Ui'
rani,"btw juga. jarak ak ke stasiun itu lumayan, jarak rumah beliau ke aku itu jauh. pake maxim juga cuma sembilan ribu:' tp beliau tetep mau anter sampai tujuan https://t.co/b7aoYkbOTZ"""
Hendrawanciken,@maemtelo @lukmaninside13 @niwseir @gojekindonesia Bos kalau maxim itu dpt orderan anter lima kilo agro nya masih sama kaya jarak deket https://t.co/GRaW8N0fjk'
lailaaa23,emang boleh ya nunggu maxim selama ini
erdo,yang betul aja ni driver maxim masa dilewatin jalan sempit sempit gini
trisna,maxim ribet gitu settingannya ya
ika,mau top up saldo maxim tapi ga bisa langsung dari aplikasinya
yangki,mapsnya maxim ga jelas
UIN Jakarta Fess | autobase UIN Jakarta,"buat kakak"" FK -uwin yg tadi order maxim ke pd. ranji, semangat praktiknya ya, semoga cepet jadi dokter, tadi belom sempet nanya nama wkwk'"
"narrel, diving akbar. 🤸🏻‍♂️",@marvkielee hy bang maxim'
racee,di maxim untuk foodnya toko yang masuk masih sedikit
devi,lokasinya maxim harus diperbaiki lagi kayaknya sih ini
^_-,@grossmutti salut banget sama maxim ngga pelit harga
marioo,kaget banget ojol maxim ternyata sangat terjangkau harganya
sye(tan),tapi tadi yaa aku sm bapak maxim nyasar HAHAHAHAHH kaya.. aku mau ke upnormal deket smk malah nyasar ke upnormal yg deket kenjeran'
sarah,aplikasi maxim keren
m,ada yg bisa cv dana ke maxim gk? #zonauang'
Ika Permata Hati,perjuangan pakai maps maxim ke Royal Hospital yang tidak ada wujudnya https://t.co/1O0PpH3WFO'
energi,"naik maxim trus abangnya kayak tau banget isi hati gue. awal nanya ""kerja di situ?"" trus ujungnya ""yaa mudah mudahan betah yaa https://t.co/wDLoeFgCC5'"
iceell ♡̷,@ara_library  gemes banget sama maxim https://t.co/c6D8bp7C1m'
bujosa,untung abang maximnya cepat datangnya
Ehlia • Missing Huezart •🐰🐧,"Random banget emang, gara-gara keinget lagu iklan maxim, jadi keinget lagu aimyon yg ini. Gue puterin tadi pagi  https://t.co/D9aLrit6Wm'"
yeo,Abang maxim pea bgt dah planga plongo bgt'
rena,"moodku hari ini bagus berkat abang maxim, terima kasihhh"
tsabita,@convomfs gojek grab maxim banyak noh tinggal pilih'
KOSONG,"Jumatku harus banyak sabar, mulai dari maxim yang gak jelas,  laptop rusak padahal hari ini deadline terakhir tugas, ditambah minggu depan harus presentasi https://t.co/XHg8DUGbyw'"
dhiyaa,"sabar banget sama maxim, lagi buru buru malah lama banget"
amara 𖧷,@convomfs Tolong kasih tutorial menggunakan gojek grab maxim indrive ya nder kalo engga sledeng tekel aja dah https://t.co/B5iQaeq6cm'
Roee,@IHateFallGuys Maxim ada buat makanan juga ges
Surya,"Tau, kirain maxim cuma ada layanan ky ojol doang. https://t.co/YQ8cmre7mk'"
Surya,Cape banget sama maxim
bucin oppa,"capek banget hari ini, udah nyampe kantor ngedadak disuruh ke cabag lain. pulangnya pke maxim eh nyasar dong lewat gang https://t.co/11P1SS2twi'"
elisa,Penyalamat disaat butuh ojol tapi gapunya duit banyak. pake maxim aja
kiki16,"mana panas, pesen maxim lama. Haduhhh"
yuniiiii,maxim tercepet sih ini
zzz,Selama pake maxim aman aman aja
raja,tim yang ngga naik maxim karena bingung cara pakainya
rafka,suka maxim
Cihh jinjaa,Cara bayar Maxim non tunai gimana anjer??????'
Abhee,@OhhhAchmad @Askrlfess Ntar ke PM lari ke Maxim dah'
Ordinary girl,Apa aku harus pake maxim dan berharap ojeknya kamu'
Maxim Tangerang Raya,Yaelah apes banget dapet driver maxim kali ini
srikasih,baik hati sekali mas driver maximnyaa
ᴅᴏᴅᴏʟᴀɴ ᴋᴀᴏs,@txtdarionlshop Sering nemuin penumpang model begini selama jadi driver Maxim
akunsambat,"@AxtonYuval Jaman purba ya? Grab, gojek, maxim, bluebird banyak tp malah nyusahin org lain wkwk'"
𓆝𓆟𓆜,kenapasiiii grab gojek sampe maxim gabisa dibuka di hape ainggg?! forced close muluu gituu keselll'
Norazly Basarian,maxim ganentu banget https://t.co/U6ZAvqmsOj'
lia,"@guihzong Disaat seperti ini, Maxim penyelamat'"
Glazemelk,"gojek parah bgt nunggu lama ga dapet dapet driver, maxim persekian detik klik order langsung dapet wkwk'"
🌻,"@AxtonYuval Tau ga si konteknya pala lo peyang, lu tanya seluruh negara juga dimana2 klo mabok ya gaboleh bawa kendaraan, ppake maxim ajalahh https://t.co/AXq0cYsG5I'"
kucing bersedih,"jogging terus baliknya naik maxim, beli basok, plus makan eskim https://t.co/Ci6NNyFbTf'"
giganotosaurus,Naik maxim trus parfum drivernya wangi banget sampai nempel di aku
🍟 zhen || TUGAS !,"Pertama kali naik maxim terus dapet begini, anjirr trauma... gw cancel saat itu juga https://t.co/iLnWdYnAng'"
🎐kinda ia,KAK KRISTT OMGG CERITA CHASE SAMA MAXIM NYA LUCU BANGETTT bikin mood juga. https://t.co/tnDZfSVl3j'
zettt44,naik maxim kerumah dara https://t.co/7ON1bwi0NJ'
Amel,@discountfess Loh baru tau maxim bisa cashless'
tretantol,@tanyarlfes Koyo logo Maxim'
littlebubss,"tirai hujan basahi aku, temani aku dan abang maxim ninja, kaki gua sakit bgt nahan badan biar ngga kedepan"
🌙,"sudah tau lampu merah , malah ditrobos dasar gilak , untung w bukan pengguna maxim cuih'"
🌙,ajg maxim ini bisanya cari masalah'
natnanimbus,"maxim tolong diperbaiki search drivernya, masa gue dpt driver lagi di tangsel, nunggu setengah jam dulu bru nyampe'"
mediafax,pesan maxim nunggu abangnya lama juga yaa hmm
riana,"@darjofess Maxim siii, tapi jarang bgt ada "
N A Y,Ini belum masalah driver yang minta tambah tarif nih. Padahal aku tipe yg sungkan banget kalo bayar pas https://t.co/tBH5mW0GbE'
rey,napasi maxim gabisa cashless elah udh enak murah padahal'
cel,UDH SIAP TP AKU KESEL SM DRIVER MAXIM https://t.co/qs7FRAt39U'
AcidSoup,@travellsize Kalo maxim setauku gitu aku maxim soalnya sama sopi pud'
bubblegum ୧⍤⃝🍦,di tolak mang maxim  https://t.co/003tNqYMeS'
𝓀𝒾𝓃𝑔 𝓌𝒾𝓉𝒽 𝓃𝑜 𝒸𝓇𝑜𝓌𝓃,@Askrlfess di gonceng sama driver maxim jarak kereta dan motornya itu mungkin lima ratus meter :)'
dinda,@kashogixx maxim saya kasihan'
lifeonearth,"sedih bgt ke perpus mau balikin + minjam buku eh malah tutup. liat di google tutup jam 3, yaudah pulang pesan maxim https://t.co/CmLyt5BDsk'"
AcidSoup,@travellsize Tapi kan kalo driver cewe dapet order cowo cowonya yg di suruh nyetir kalo maxim aturannya gitu si
Rosygr,"Anjret pesan makan di maxim cari driver susah mamati, giliran mau batal langsung bisa.'"
⑂ kimo ⑂,"modaaaal dikit gitu open room kek,naik maxim kek. Kan begini malah bahaya in orang lain"
L🕶️,"Driver maxim hiso nge rem rak si, posisi duduk miring, jalan rusak, akeh polisi tdr tp bablas wae'"
🐌,Dapet driver maxim baeknya kebangetan semoga berkah selalu ya pakk
rosa,parah banget ni maximnya
tyoo,hari ini dapat driver maxim yang lama pol
SUKA DADA AYAM,@Handoko_Senoo Driver maxim mas wkwkwkw'
owen,tidak mudah mencari alamat di aplikasi maxim
mhammadrizkyy,Naik maxim ke bogor ternyata ga brgitu mahal
mamek.,"@christclou Biarin kita tinggal pindah ke Maxim. Ngojol nganggo suprafit, ndang sugeh'"
Scarlet,@ribonk Sekarang udah ada Maxim... No excuse...'
dimas,aplikasi maxim udah mulai bagus
lusica,masih ada beberapa fitur maxim yang harus diperbaiki
Capcipcupp,RT @unmagnetism: lancar trus rejekinya buat abang driver maxim. https://t.co/OL8uwl9dDI'
Tanyarl,gais maksud account 94k itu apa ya di app maxim? soalnya kalo saldo aku gapernah isi saldo di maxim https://t.co/Qw8JDCozWS'
2025jadi DPR,maxim murahnya suka ngga masuk akal
NICKNAME,@kostanalter Pake maxim murahh'
kai.,@CuanPuan @sheores / LEMES BANGET DITAWARIN PROMO MAXIM SUKABUMI'
𝐤eii-(ケイイ)🎨🦇☔🐿🔮,"Yg di pesen gojek, yg datang maxim.. https://t.co/m4d9HrKGzv'"
serotonin,"fyi akun gojekku dua supaya dapat promo mulu wkwkwk anjir masih belum grab, indriver ama maxim jir https://t.co/rfQKCj3fwc'"
Nita,"Enaknya naik maxim itu tida perlu bilang belok kiri, belok kanan #anakperum'"
Hoomanpedia,"@tanyakanrl Bayar cash nder kalo maxim, kecuali top up dulu. Maxim murah bangett sih keren parah'"
Maxim Bali,@ZandV_ @Maxim_Indo Jika ada keluhan bisa dikirmkan melalui cs maxim
Pacar Joshua Hong💜,Maxim kenapa driver nya pada tolol tolol si anjing'
Maxim Bali,Murah banget di maxim dah
heme ོ,LUCU BGT PESEN MAXIM CAR PAKE APV  https://t.co/ifSNR59ym3'
Maxim Bali,"RT @MaximAceh: Apapun barang hantarannya, kami siap antar sampai tujuan. Download aplikasi MAXIM sekarang dan dapatkan bonus saldo"
Maxim Bali,naik maxim lancar jaya
Ayu Permata,"Pagi ini dpt maxim supra geter, sepanjang jalan kaki kesemutan gara gara foot step ikutan geter, ya Allah mau kesel tp ngakak tp geli ni kaki"
ndaruu,driver maximnya baik sekali
kie,hari ini naik maxim suka banget soalnya drivernya baik
catur,"baru coba install, semoga aplikasi maximya bagus"
bbyros🕊,"Tiap pagi mata ini melihat notif Telkomsel, traveloka, ovo, grab, gojek, maxim"
clorcloron,"Awalnya cerita dari pasar Senen naik Maxim mas mas nya humble banget, pas mau sampe rumah hp emak gue ketinggalan  https://t.co/cnsws2X50X'"
clorcloron,"[TWITTER PLEASE DO YOUR MAGIC] Hallo semua, aku mau minta tolong cariin orang ini. Dia driver maxim, hp mama aku ketinggalan https://t.co/yGgPF4BLHs'"
littlegurl,"Ini awal november sakit ampe kuku ungu dikereta sendiri, pas pesen maxim ketiban motor maxim https://t.co/aPF6oJwBIl'"
dede raditya,Lama banget dah maxim gua kaga dateng dateng
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,anjing gua nunggu maxim 12menit gila banget bgst'
puspa,"senang kalau pesan maxim, driiver selalu dapat yang terdekat"
rizkina,ko bisa sampe muter muter gini naik maxim ya
dinar,"makasih juga buat abang maxim yang nyamperin bapaknya dan bantuin dorong motornya, sehat selalu dan lancar rezekinya"
lilaa,pesan maxim harus menunggu dengan sabar
kiaraa,"ini maxim udah lama datangnya, lama juga driver nyetirnya"
yudi,di aplikasi maxim ini mapsnya kurang akurat
luthfi,naik maxim hari ini bikin sebel
salma,"haduhh nunggu maxim lama banget penjemputannya, kadang suka jadi telat"
helvy,moo nangis anjr dapet maxim motor jamet
sia,driver maxim grab disini kalo dikasi uang lebih langsung kembalian boro di jakarta kalo gak kita bilang kembali ya langsung bilang makasih
UGM_FESS,Ugm_fess Klo order maxim jam 5-an bakal ada driver yg nerima ga ya? Jam segitu udah ada yg pada stand by belum sih? Terima kasih'
rena,"naik maxim udah mana murah, drivernya baik banget"
freetag,@tanyakanrl maxim blm bisa cashless'
aku,@tanyakanrl iya maxim kan cash'
nada,kalau lagi sedikit uangnya naik maxim aja
radit,"pertama kali coba maxim, untuk menentukan lokasi penjemputan atau pengantaran sulit sekali"
ako,"aku masi kagok pake maxim soalnya kudu bayar pas sampe, udah kebiasaan bayarnya cashless jd suka lupa cuma blg makasih doang"
Katadata.co.id,saingan gojek adalah maxim
nnn,eh maxim bisa non tunai kaga si anjinggggggggggg gw gblk bgt si pede kluar mobil bilang makasi pdhl blm bayar'
ruu,pakai maxim sulit mencari lokasi dipedalaman
Dedi Iskandar,RT @sukaggorengan: top up maxim gmna sieee
It’s me rocket 🚀,Bapak bapak maxim nya baik bgt'
qblxyz,"Hallo @Maxim_Indonesia Mau tanya, untuk Pengajuan Sponsorship ke maxim itu bagaimana ya prosedurnya??"
A,pertama kali naik maxim. murah
Aristo Triple-X,RT @advis_Nd: pengalaman gak enak selama Beta naik Maxim entah ini dia mau main gila tapi memang si kata2 agak gak sopan
yongbok,Dari stasiun senen sampe kramat jati murah banget naik maxim
jaka,maps di maxim kurang lengkap
Spica Bella,"Titik maxim tuh kadang gajelas anjir, w liat di google maps udah bener ternyata beda beberapa meter sama di apps.  https://t.co/fKoxIrYF1r'"
wanda,suka sekali pakai maxim
cicingki,"Perdana naik ojol maxim dari stasiun ke rumah, tarifnya semurah itu. Biasa naik si ijo tarifnya bisa dia kali ini. https://t.co/DYy3px6CUI'"
hasni,"oiya kami kemana - mana naik maxim ya, karena murah"
v i,Anjay ini kalo digabungin sm Maxim dan syopifud pasti lebih banyak lagi https://t.co/YzP7xIESIg'
gadis,order maxim tapi maps yang digunakan tidak lengkap
hasni,"dari stasiun solo balapan, kami naik maxim ke pasar gede krna menurut kami lebih murah daripada gocar atau grabcar.  https://t.co/F2tr5q5DVd'"
zoe✿ bigluv kazy,"saran aku yang dom depok terus mau pp naik motor dan apalagi pertama kali ke ice bsd, mending pikirin lagi deh. mending naik maxim https://t.co/VKPjoLmYIt'"
vena,tarif maxim sangat terjangkau
resa,abang maximnya baik
aris.pdf,Ndak bisa ikut ikutan update gojek setaun berapa soalnya aku pelit jadi pake maxim
wenaa,lagi kepepet banget untung megang uang cash buat naik maxim
🌹,"memar belom sembuh eh kepentok maxim lagi tadi pagi, mana udah keliatan ungu, sakit, jalan jg jd sakit"
putri,"malem malem susah cari driver, untung ada si kuning maxim "
ginaaa,maxim penolongku
gilda,lokasi titik jemput maxim ko ga jelas gini ya
Nadline,"maxim buat nyari lokasi tujuan suka ngga muncul langsung, jadi harus nyari lewat peta dulu. ribet"
lisa,titik maxim tidak jelas
runa,driver maxim hari ini ramah banget
dre,abang maxim best banget bawa motornya
prince,driver maxim bikin emosiiiii
della,"harus buru buru karena jadwal padat, untung ada abang maxim"
aminah,maps di aplikasi maxim sering tidak tepat
crisss,"seneng banget pake maxim, murah meriahhh"
I,masih pagi udah nungguin maxim yang lama banget
tyra,sebel banget hari ini sama maxim
drienz,maxim dibutuhkan diwaktu yang tepat
dian,ini abang maxim malem malem masih narik aja
yu,Hari ini naik maxim pulang pergi abangnya ramah banget
evi,banyak driver maxim yang sikapnya tidak sopan
raaa,problematik banget maximnya
dika21,"tadi siang pesen maxim food, ada promo"
farhann,naik maxim kadang suka telat
wan,sekarang lebih suka pakai maxim daripada apk sebelah
amirkhan,murah banget woy pake maxim ini
haris,kapok pakai maxim
tiara_,"agak lumayan ya say tarifnya sama si hijau, murahan si kuning maxim"
nggii,suka maxim harga murah
weqaa,kebiasaan banget kalo pengen cepet malah maximnya lama
rara,aaaaaa maxim penyelamat akuuuu
rea11_,"abis pulang dari mall, iseng pesen maxim buat anter pulang. Ternyata aman aja ngga aneh aneh"
gilang,seru banget abang maximnyaa
